Vocabulary,Sound,POS,Original,Chinese,Where,Level,Alias,Source,Type
meddling,sound/meddling.mp3,Noun,…spared from our ***meddling***…,(干涉/干涉),S17 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
terraforming,sound/terraforming.mp3,Noun,The process … is called **terraforming**.,(地球化/地球化),S1 P2,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
habitable,sound/habitable.mp3,Adjective,…create a more **habitable** living environment…,(適合居住的/适合居住的),S1 P2,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
undertaking,sound/undertaking.mp3,Noun,…would be a huge **undertaking**…,(事業/事业),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
millennia,sound/millennia.mp3,Noun,…needing several **millennia**…,(數千年/数千年),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
interval,sound/interval.mp3,Noun,…a brief **interval**…,(間隔/间隔),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
flourish,sound/flourish.mp3,Verb,…plants and animals could **flourish**…,(繁茂/繁茂),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
unrelenting,sound/unrelenting.mp3,Adjective,…require **unrelenting** scientific ingenuity…,(不懈的/不懈的),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
ingenuity,sound/ingenuity.mp3,Noun,…scientific **ingenuity**…,(獨創性/独创性),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
expenditure,sound/expenditure.mp3,Noun,…enormous capital **expenditure**…,(支出/支出),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
interrelated,sound/interrelated.mp3,Adjective,…three **interrelated** processes…,(相互關聯的/相互关联的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
trap,sound/trap.mp3,Verb,…carbon dioxide is **trapped** as ice…,(被困住/被困住),S3 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
ferry,sound/ferry.mp3,Verb,…would have to be **ferried** to Mars…,(運送/运送),S5 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
lightweight,sound/lightweight.mp3,Adjective,…they would have to be **lightweight**…,(輕便的/轻便的),S5 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
mimic,sound/mimic.mp3,Verb,…to **mimic** the natural process…,(模仿/模仿),S6 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
photosynthesis,sound/photosynthesis.mp3,Noun,…of plant **photosynthesis**…,(光合作用/光合作用),S6 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
oxygenate,sound/oxygenate.mp3,Verb,…slowly be **oxygenated**…,(充氧/充氧),S7 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
apparatus,sound/apparatus.mp3,Noun,…a breathing-assistance **apparatus**…,(裝置/装置),S7 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
immortal,sound/immortal.mp3,Adjective,…uttered these **immortal** words…,(不朽的/不朽的),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
propel,sound/propel.mp3,Verb,…**propelled** the human race…,(推動/推动),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
intrepid,sound/intrepid.mp3,Adjective,…**intrepid** explorers of space…,(無畏的/无畏的),S1 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
culmination,sound/culmination.mp3,Noun,…the **culmination** of human dreams…,(頂峰/顶峰),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
gaze,sound/gaze.mp3,Verb,…first **gazed** in fear and wonder…,(凝視/凝视),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
galaxy,sound/galaxy.mp3,Noun,…all we can about our **galaxy**…,(星系/星系),S2 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
improbable,sound/improbable.mp3,Adjective,"…the **improbable** 400,000-kilometre journey…",(難以置信的/难以置信的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
celestial,sound/celestial.mp3,Adjective,…our nearest **celestial** neighbour…,(天上的/天上的),S3 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
cramped,sound/cramped.mp3,Adjective,"…tiny, **cramped** and fragile…",(狹窄的/狭窄的),S3 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
miracle,sound/miracle.mp3,Noun,…a modern-day **miracle**…,(奇蹟/奇迹),S4 P1,A2/T-1,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
half-wit,sound/half-wit.mp3,Noun,…being the class **half-wit**…,(笨蛋/笨蛋),S1 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
smart-alec,sound/smart-alec.mp3,Noun,…became class **smart-alec** instead.,(自以為是的人/自以为是的人),S1 P1,C1/T-3,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
accusation,sound/accusation.mp3,Noun,…attracted **accusations** of being teacher's pet…,(指責/指责),S1 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
alas,sound/alas.mp3,Adverb,"It was true, **alas**…",(唉/唉),S1 P1,C1/T-3,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
caned,sound/caned.mp3,Verb,…who was **caned** regularly…,(用藤條打/用藤条打),S2 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
transgression,sound/transgression.mp3,Noun,…for more serious **transgressions**…,(過錯/过错),S2 P1,C1/T-3,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
stroke,sound/stroke.mp3,Noun,…up to four **strokes** of the cane…,(抽打/抽打),S2 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
recapture,sound/recapture.mp3,Verb,…had to be **recaptured** after each stroke…,(重新抓住/重新抓住),S3 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
howling,sound/howling.mp3,Adjective,Thommo was led **howling** away…,(嚎叫的/嚎叫的),S4 P1,B1/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
heather,sound/heather.mp3,Noun,…beehives on the **heather** moor…,(石南花/石南花),S1 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
starkly,sound/starkly.mp3,Adverb,…these **starkly** beautiful moors…,(荒涼地/荒凉地),S1 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
fragrance,sound/fragrance.mp3,Noun,…room-filling **fragrance**…,(香味/香味),S1 P1,B1/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
gel-like,sound/gel-like.mp3,Adjective,…unique **gel-like** texture…,(凝膠狀的/凝胶状的),S1 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
tweed,sound/tweed.mp3,Noun,…hairy **tweed** cap…,(粗花呢/粗花呢),S3 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
barbed,sound/barbed.mp3,Adjective,The **barbed** lancets…,(帶倒刺的/带倒刺的),S4 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
lancet,sound/lancet.mp3,Noun,…**lancets** dig into the skin…,(刺針/刺针),S4 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
straggle,sound/straggle.mp3,Verb,…the insect **straggles** towards death…,(蹣跚/蹒跚),S4 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
apiarist,sound/apiarist.mp3,Noun,The armour of the **apiarist**…,(養蜂人/养蜂人),S5 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
hessian,sound/hessian.mp3,Noun,…piece of **hessian** sacking…,(粗麻布/粗麻布),S7 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
bellows,sound/bellows.mp3,Noun,…smoker formed like a pair of miniature **bellows**…,(風箱/风箱),S7 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
lull,sound/lull.mp3,Verb,The smoke can help **lull** the bees.,(使平靜/使平静),S7 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
claustrophobic,sound/claustrophobic.mp3,Adjective,The bee-suit is slightly **claustrophobic**…,(令人窒息的/令人窒息的),S9 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
visceral,sound/visceral.mp3,Adjective,…sudden sight of bees flying onto the net **visor**…,(護面/护面),S9 P1,B1/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
berserk,sound/berserk.mp3,Adjective,"The bees, in the meantime, go purposefully **berserk**.",(發狂/发狂),S8 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
zinging,sound/zinging.mp3,Verb,"***Zinging***, small, aggressive atoms…",(嗡嗡飛射/嗡嗡飞射),S8 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
unrelenting,sound/unrelenting.mp3,Adjective,Their persistence is **unrelenting**.,(不懈的/不懈的),S8 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
chink,sound/chink.mp3,Noun,…seek the vulnerable **chink***…,(裂縫/裂缝),S9 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
bracken,sound/bracken.mp3,Noun,…gentle sweeps of **bracken**…,(歐洲蕨/欧洲蕨),S11 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
pollination,sound/pollination.mp3,Noun,Farmers Resort to Hand **Pollination**,(授粉/授粉),Title,B2/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
blossom,sound/blossom.mp3,Noun,…went from **blossom** to blossom…,(花朵/花朵),S5 P2,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
pollen,sound/pollen.mp3,Noun,…to spread **pollen**…,(花粉/花粉),S5 P2,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
shocker,sound/shocker.mp3,Noun,What they learned was a **shocker**.,(令人震驚的事/令人震惊的事),S7 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
cross-pollination,sound/cross-pollination.mp3,Noun,…performed **cross-pollination** more efficiently…,(異花授粉/异花授粉),S7 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
dependable,sound/dependable.mp3,Adjective,"Bees, you should know, are less **dependable**.",(可靠的/可靠的),S7 P1,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
critter,sound/critter.mp3,Noun,…there are some **critters** we humans don't really need…,(小生物/小生物),S9 P1,B2/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
hung up,sound/hung up.mp3,Adjective,…let's not get **hung up** on biological diversity…,(糾結/纠结),S9 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
biologically shrunken,sound/biologically shrunken.mp3,Adjective,…a **biologically shrunken** world.,(生物縮減的/生物缩减的),S9 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
conservationist,sound/conservationist.mp3,Noun,The **conservationists** said…,(環保主義者/环保主义者),S11 P1,B2/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
logic,sound/logic.mp3,Noun,…the **logic** of the market…,(邏輯/逻辑),S11 P1,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
coin,sound/coin.mp3,Verb,…are widely credited with **coining** the term 'Millennial Generation'…,(創造/创造),S1 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
landmark,sound/landmark.mp3,Adjective,…their **landmark** research on generational types…,(里程碑式的/里程碑式的),S1 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
complementary,sound/complementary.mp3,Adjective,…are **complementary**…,(互補的/互补的),S1 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
foist,sound/foist.mp3,Verb,…not because childbearing was **foisted** upon them.,(強加於/强加于),S4 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
ubiquitous,sound/ubiquitous.mp3,Adjective,…the **ubiquitous** 'Baby On Board' car bumper stickers.,(無處不在的/无处不在的),S4 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
catalyst,sound/catalyst.mp3,Noun,…as the **catalyst** for this characteristic…,(催化劑/催化剂),S4 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
wholeheartedly,sound/wholeheartedly.mp3,Adverb,…they embrace this specialness **wholeheartedly**.,(全心全意地/全心全意地),S3 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
exuberant,sound/exuberant.mp3,Adjective,…their **exuberant** confidence…,(洋溢的/洋溢的),S6 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
flaunt,sound/flaunt.mp3,Verb,…more likely to **flaunt** society's conventions.,(炫耀無視/炫耀无视),S5 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
crushing,sound/crushing.mp3,Adjective,…producing **crushing** disappointment.,(沉重的/沉重的),S7 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
safety net,sound/safety net.mp3,Noun,…provided **safety nets** for failure…,(安全網/安全网),S7 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
multi-tasking,sound/multi-tasking.mp3,Noun,…the practice of **multi-tasking**…,(多任務處理/多任务处理),S6 P2,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
natives,sound/natives.mp3,Noun,Millennials are ***natives*** …,原住民/原住民,S6 P2,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
immigrants,sound/immigrants.mp3,Noun,…previous generations are 'digital ***immigrants***'.,移民/移民,S6 P2,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
truism,sound/truism.mp3,Noun,The clearest ***truism*** …,(不言而喻的道理/不言而喻的道理),S7 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
risky,sound/risky.mp3,Adjective,FOOD is **risky**.,(有風險的/有风险的),S1 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
choke,sound/choke.mp3,Verb,You can **choke** on a hot dog…,(噎住/噎住),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
poison,sound/poison.mp3,Verb,…be **poisoned** by a pizza…,(中毒/中毒),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
expire,sound/expire.mp3,Verb,…before its customers **expire**?,(死亡/死亡),S1 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
frown,sound/frown.mp3,Verb,…so many American cities **frown** on food trucks.,(不贊成/不赞成),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
cap,sound/cap.mp3,Noun,…a **cap** on the number of food-truck licences…,(上限/上限),S3 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
black market,sound/black market.mp3,Noun,…has created a **black market**…,(黑市/黑市),S3 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
intrepid,sound/intrepid.mp3,Adjective,Your **intrepid** correspondent sampled injera…,(無畏的/无畏的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
garishness,sound/garishness.mp3,Noun,Officials worry that their **garishness** will lower the local tone.,(俗麗/俗丽),S7 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
filthy,sound/filthy.mp3,Adjective,Many think they are just **filthy**…,(骯髒的/肮脏的),S7 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
sneer,sound/sneer.mp3,Noun,…“roach coaches” is the **sneer**.,(嘲笑/嘲笑),S7 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
wrangling,sound/wrangling.mp3,Noun,After years of legal **wrangling**…,(爭論/争论),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
mean-spirited,sound/mean-spirited.mp3,Adjective,…the typically **mean-spirited** conditions…,(惡意的/恶意的),S8 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
immobile,sound/immobile.mp3,Adjective,…to protect the **immobile** restaurant trade.,(固定的/固定的),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
misguided,sound/misguided.mp3,Adjective,Such rules are **misguided**.,(被誤導的/被误导的),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
aspiring,sound/aspiring.mp3,Adjective,…an important step for **aspiring** entrepreneurs…,(有抱負的/有抱负的),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
enlivened,sound/enlivened.mp3,Verb,…food trucks have **enlivened** the gastronomic scene…,(使有生氣/使有生气),S9 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
roam,sound/roam.mp3,Verb,…wherever they have been allowed to **roam**.,(遊走/游走),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
trend,sound/trend.mp3,Noun,I've seen a lot of **trends** come and go.,(潮流/潮流),S1 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
astonishingly,sound/astonishingly.mp3,Adverb,…some **astonishingly** stupid trends have thrived.,(令人驚訝地/令人惊讶地),S1 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
offender,sound/offender.mp3,Noun,Here are some of the worst **offenders**.,(罪魁禍首/罪魁祸首),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
